Course name,Degree type,Interest,Institution,Language,Delivery,Location,Duration,Cost - $CAD,Link (for detail page),Target
Big data analytics,Certificate,Technology,York,English,Blended online + live online,Online,6 months,"$3,299",https://continue.yorku.ca/programs/certificate-in-big-data-analytics/,Associate
Advanced data science and predictive analytics,Certificate,Technology,York,English,Blended online + live online,Online,6 months,"$3,855",https://continue.yorku.ca/programs/certificate-in-advanced-data-science-and-predictive-analytics/,Associate
Blockchain development,Certificate,Technology,York,English,Blended online + live online,Online,3 months,"$6,799",https://continue.yorku.ca/programs/certificate-in-blockchain-development/,Associate
Human Resources Management,Certificate,Human Resources,York,English,Blended online + live online,Online,22 months,"$6,921",https://continue.yorku.ca/programs/certificate-in-human-resources-management-online/,Associate
Digital Marketing,Certificate,Marketing,York,English,Blended online + live online,Online,6 months,"$2,307",https://continue.yorku.ca/programs/certificate-in-content-marketing/,Associate
Content Marketing,Certificate,Marketing,York,English,Blended online + live online,Online,6 months,"$2,307",https://continue.yorku.ca/programs/certificate-in-digital-marketing/,Associate
Accounting,Post-grad Certificate,Finance and Accounting,York,English,Blended online + live online,Online,18 months,"$6,152",https://continue.yorku.ca/programs/post-graduate-certificate-in-accounting-online/,Associate
Early Childhood Education,Bachelors,Education,Ontario Tech University,English,Blended online + live online,Online,48 Months,"$23,932",https://ontariotechu.ca/programs/undergraduate/education/early-childhood-studies/index.php,Mid-career
Special EducationDCDSB,Certificate,Education,Ontario Tech University,English,Online,Online,1 month,$675,https://ontariotechu.ca/programs/continuous-learning/education/aq-courses/p1-special-education/index.php#tab-schedule-,Associate
Advanced leadership and management,Certificate,Strategy,Ontario Tech University,English,Online,Online,9 weeks,"$3,599",https://ontariotechu.ca/programs/continuous-learning/business/post-grad-advanced-leadership/index.php,Mid-career
Performance Management,Certificate,Human Resources,Ontario Tech University,English,Online,Online,1 month,$450,https://ontariotechu.ca/programs/continuous-learning/business/performance-management/index.php,Associate
Generative AI for Leadership,Certificate,Sales,Ontario Tech University,English,Online,Online,6 weeks,"$2,049",https://ontariotechu.ca/programs/continuous-learning/business/generative-ai-for-leaders/index.php,Associate
Health Informatics to Improve Quality of Care,Certificate,Healthcare,MIT,English,Online,Online,13 weeks,N/A,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+HST.936x+1T2019/about,Mid-career
Communications and Marketing in a Digital Age,Certificate,Marketing,Ontario techu,English,Online,Online,3 Days,$450,https://ontariotechu.ca/programs/continuous-learning/business/communications-and-marketing-in-a-digital-age/index.php,Associate
Creating Content and Expanding Your Network,Certificate,Marketing,Ontario techu,English,Online,Online,2 days,$450,https://ontariotechu.ca/programs/continuous-learning/marketing-communications/creating-content-and-expanding-your-network/index.php,Executive
Digital Management,Certificate,Marketing,Ontario techu,English,Online,Online,2 days,$450,https://ontariotechu.ca/programs/continuous-learning/marketing-communications/digital-management/index.php,Executive
Digital Media and Marketing Strategies,Certificate,Marketing,Ontario techu,English,Online,Online,2 days,$450,https://ontariotechu.ca/programs/continuous-learning/marketing-communications/digital-media-marketing-strategies1/index.php,Executive
High Impact Communication Skills,Certificate,Marketing,Ontario techu,English,Online,Online,3 Days,$450,https://ontariotechu.ca/programs/continuous-learning/business/high-impact-communication-skills/index.php,Executive
Customer Success Management,Certificate,Marketing,York,English,Blended online + live online,Online,5 weeks,"$2,499",https://continue.yorku.ca/programs/certificate-in-customer-success-management//,Associate
People Analytics,Certificate,Strategy,York,English,Online,Online, 6 months,"$3,299",https://continue.yorku.ca/programs/certificate-in-people-analytics/,Associate
